Meta Text, type=0x03 (Sequence/Track Name)  leng=29
     Text = <Violin, Violin, Violin, Staff>
Parameter, chan=1 c1=121 c2=0
Program, chan=1 program=40
Parameter, chan=1 c1=7 c2=127
Parameter, chan=1 c1=10 c2=64
Parameter, chan=1 c1=91 c2=0
Parameter, chan=1 c1=93 c2=0
Meta event, unrecognized, type=0x21 leng=1
Parameter, chan=5 c1=121 c2=0
Program, chan=5 program=45
Parameter, chan=5 c1=7 c2=100
Parameter, chan=5 c1=10 c2=64
Parameter, chan=5 c1=91 c2=0
Parameter, chan=5 c1=93 c2=0
Meta event, unrecognized, type=0x21 leng=1
Parameter, chan=6 c1=121 c2=0
Program, chan=6 program=44
Parameter, chan=6 c1=7 c2=100
Parameter, chan=6 c1=10 c2=64
Parameter, chan=6 c1=91 c2=0
Parameter, chan=6 c1=93 c2=0
Meta event, unrecognized, type=0x21 leng=1
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
Parameter, chan=1 c1=2 c2=80
